GAME_ID,WINNER,MATCHUP
0021300003,HOME,LAC @ LAL
0021300002,HOME,CHI @ MIA
0021300001,HOME,ORL @ IND
0021300005,HOME,MIA @ PHI
0021300017,HOME,LAL @ GSW
0021300013,HOME,MEM @ SAS
0021300008,HOME,MIL @ NYK
0021300015,HOME,POR @ PHX
0021300004,HOME,BKN @ CLE
0021300009,HOME,CHA @ HOU
0021300007,HOME,WAS @ DET
0021300012,HOME,ATL @ DAL
0021300014,AWAY,OKC @ UTA
0021300010,HOME,ORL @ MIN
0021300016,HOME,DEN @ SAC
0021300006,HOME,BOS @ TOR
0021300011,AWAY,IND @ NOP
0021300018,HOME,NYK @ CHI
0021300019,HOME,GSW @ LAC
0021300032,AWAY,SAS @ LAL
0021300024,AWAY,MIL @ BOS
0021300030,HOME,UTA @ PHX
0021300028,HOME,MIA @ BKN
0021300025,HOME,DAL @ HOU
0021300021,HOME,NOP @ ORL
0021300023,HOME,TOR @ ATL
0021300029,AWAY,POR @ DEN
0021300027,HOME,OKC @ MIN
0021300031,AWAY,LAC @ SAC
0021300022,AWAY,PHI @ WAS
0021300026,HOME,DET @ MEM
0021300020,HOME,CLE @ CHA
0021300034,HOME,CHI @ PHI
0021300040,HOME,SAC @ GSW
0021300039,HOME,SAS @ POR
0021300033,HOME,CLE @ IND
0021300036,HOME,MEM @ DAL
0021300038,AWAY,HOU @ UTA
0021300037,AWAY,TOR @ MIL
0021300035,HOME,CHA @ NOP
0021300046,HOME,ATL @ LAL
0021300045,AWAY,MIN @ NYK
0021300042,HOME,WAS @ MIA
0021300043,HOME,BKN @ ORL
0021300041,HOME,BOS @ DET
0021300044,HOME,PHX @ OKC
0021300048,AWAY,GSW @ PHI
0021300047,HOME,MIN @ CLE
0021300050,HOME,HOU @ LAC
0021300049,HOME,BOS @ MEM
0021300054,AWAY,CHA @ NYK
0021300052,HOME,UTA @ BKN
0021300053,AWAY,IND @ DET
0021300058,AWAY,HOU @ POR
0021300056,HOME,LAL @ DAL
0021300057,AWAY,SAS @ DEN
0021300059,AWAY,ATL @ SAC
0021300051,AWAY,MIA @ TOR
0021300055,AWAY,PHX @ NOP
0021300063,AWAY,WAS @ PHI
0021300068,HOME,PHX @ SAS
0021300064,HOME,UTA @ BOS
0021300062,HOME,LAC @ ORL
0021300061,HOME,CHI @ IND
0021300066,HOME,CLE @ MIL
0021300067,AWAY,GSW @ MIN
0021300065,AWAY,NOP @ MEM
0021300069,HOME,DAL @ OKC
0021300060,HOME,TOR @ CHA
0021300072,AWAY,LAL @ HOU
0021300070,HOME,LAC @ MIA
0021300071,HOME,ATL @ DEN
0021300076,HOME,CLE @ PHI
0021300082,HOME,GSW @ SAS
0021300079,HOME,UTA @ CHI
0021300083,HOME,DEN @ PHX
0021300078,AWAY,OKC @ DET
0021300075,AWAY,BOS @ ORL
0021300084,HOME,SAC @ POR
0021300074,HOME,TOR @ IND
0021300080,HOME,DAL @ MIN
0021300077,HOME,BKN @ WAS
0021300073,AWAY,NYK @ CHA
0021300081,HOME,LAL @ NOP
0021300088,HOME,PHI @ CLE
0021300087,AWAY,IND @ BKN
0021300090,AWAY,LAC @ HOU
0021300089,AWAY,BOS @ MIA
0021300086,HOME,ORL @ ATL
0021300092,AWAY,DAL @ MIL
0021300093,AWAY,POR @ SAC
0021300091,HOME,GSW @ MEM
0021300085,HOME,UTA @ TOR
0021300097,AWAY,MIN @ LAL
0021300094,AWAY,SAS @ NYK
0021300096,HOME,NOP @ PHX
0021300095,HOME,WAS @ OKC
0021300100,AWAY,SAS @ PHI
0021300102,HOME,CLE @ CHI
0021300101,HOME,ORL @ BOS
0021300103,HOME,TOR @ HOU
0021300106,HOME,MIN @ LAC
0021300105,HOME,DET @ POR
0021300099,HOME,MEM @ IND
0021300104,AWAY,DEN @ UTA
0021300098,AWAY,ATL @ CHA
0021300109,HOME,DET @ GSW
0021300110,HOME,NOP @ LAL
0021300107,HOME,MIL @ MIA
0021300108,HOME,WAS @ DAL
0021300112,HOME,HOU @ PHI
0021300117,HOME,WAS @ SAS
0021300113,AWAY,CHA @ BOS
0021300111,HOME,MIL @ ORL
0021300122,HOME,OKC @ LAC
0021300120,HOME,PHX @ POR
0021300116,AWAY,NYK @ ATL
