GAME_ID,WINNER,MATCHUP
0025900001,HOME,CIN @ BOS
0025900002,AWAY,DET @ MNL
0025900003,AWAY,PHW @ NYK
0025900004,AWAY,BOS @ SYR
0025900005,HOME,DET @ CIN
0025900006,AWAY,MNL @ STL
0025900007,HOME,MNL @ CIN
0025900008,HOME,SYR @ DET
0025900009,AWAY,SYR @ CIN
0025900011,AWAY,BOS @ NYK
0025900010,HOME,DET @ PHW
0025900012,HOME,MNL @ SYR
0025900013,HOME,CIN @ STL
0025900015,AWAY,STL @ MNL
0025900014,AWAY,BOS @ CIN
0025900017,HOME,MNL @ NYK
0025900016,AWAY,BOS @ STL
0025900018,HOME,SYR @ PHW
0025900019,AWAY,NYK @ DET
0025900020,AWAY,DET @ MNL
0025900023,HOME,PHW @ BOS
0025900024,AWAY,CIN @ SYR
0025900021,HOME,NYK @ STL
0025900022,AWAY,MNL @ DET
0025900025,HOME,BOS @ MNL
0025900027,HOME,CIN @ PHW
0025900026,HOME,DET @ SYR
0025900029,HOME,DET @ BOS
0025900028,HOME,NYK @ PHW
0025900030,HOME,MNL @ STL
0025900031,HOME,CIN @ BOS
0025900032,AWAY,PHW @ DET
0025900034,AWAY,SYR @ NYK
0025900035,HOME,MNL @ DET
0025900033,AWAY,PHW @ CIN
0025900036,HOME,STL @ BOS
0025900039,HOME,MNL @ PHW
0025900038,HOME,CIN @ DET
0025900037,HOME,NYK @ SYR
0025900042,AWAY,DET @ NYK
0025900041,HOME,PHW @ MNL
0025900040,AWAY,BOS @ CIN
0025900045,HOME,STL @ NYK
0025900044,HOME,CIN @ SYR
0025900043,AWAY,BOS @ DET
0025900046,AWAY,NYK @ MNL
0025900048,HOME,CIN @ DET
0025900047,HOME,BOS @ SYR
0025900049,AWAY,NYK @ CIN
0025900051,HOME,SYR @ BOS
0025900050,AWAY,STL @ PHW
0025900052,HOME,DET @ MNL
0025900053,AWAY,BOS @ NYK
0025900055,HOME,PHW @ SYR
0025900054,AWAY,DET @ STL
0025900056,AWAY,MNL @ CIN
0025900058,HOME,SYR @ PHW
0025900057,HOME,NYK @ DET
0025900059,HOME,STL @ CIN
0025900060,AWAY,SYR @ NYK
0025900061,HOME,CIN @ DET
0025900062,AWAY,PHW @ BOS
0025900064,AWAY,SYR @ MNL
0025900063,AWAY,STL @ DET
0025900065,HOME,BOS @ PHW
0025900066,HOME,SYR @ STL
0025900067,HOME,MNL @ CIN
0025900069,AWAY,PHW @ NYK
0025900068,HOME,DET @ BOS
0025900070,AWAY,SYR @ CIN
0025900071,HOME,MNL @ STL
0025900073,AWAY,BOS @ MNL
0025900072,AWAY,NYK @ PHW
0025900075,AWAY,MNL @ NYK
0025900074,AWAY,STL @ SYR
0025900077,AWAY,CIN @ NYK
0025900076,HOME,STL @ SYR
0025900078,HOME,CIN @ BOS
0025900079,HOME,MNL @ PHW
0025900081,HOME,NYK @ BOS
0025900080,HOME,STL @ PHW
0025900082,HOME,MNL @ DET
0025900084,HOME,DET @ NYK
0025900085,HOME,MNL @ SYR
0025900083,HOME,PHW @ STL
0025900086,HOME,DET @ PHW
0025900087,AWAY,STL @ CIN
0025900088,AWAY,BOS @ MNL
0025900089,AWAY,BOS @ NYK
0025900091,HOME,MNL @ SYR
0025900090,HOME,STL @ CIN
0025900093,HOME,PHW @ BOS
0025900094,HOME,SYR @ MNL
0025900092,HOME,DET @ CIN
0025900095,HOME,CIN @ PHW
0025900096,HOME,DET @ STL
0025900098,HOME,STL @ BOS
0025900097,HOME,SYR @ NYK
0025900100,AWAY,CIN @ MNL
0025900099,AWAY,BOS @ PHW
0025900101,HOME,NYK @ DET
0025900102,HOME,PHW @ SYR
0025900103,HOME,CIN @ STL
0025900104,AWAY,STL @ NYK
0025900105,HOME,CIN @ PHW
0025900106,HOME,NYK @ SYR
0025900108,AWAY,PHW @ CIN
0025900107,AWAY,STL @ DET
0025900109,HOME,NYK @ BOS
0025900110,HOME,NYK @ BOS
0025900112,HOME,SYR @ DET
0025900111,AWAY,MNL @ CIN
0025900113,HOME,PHW @ STL
0025900115,HOME,CIN @ NYK
0025900114,AWAY,BOS @ SYR
0025900116,HOME,DET @ STL
0025900117,HOME,CIN @ NYK
0025900118,AWAY,BOS @ DET
0025900120,AWAY,BOS @ NYK
0025900119,HOME,SYR @ PHW
0025900121,HOME,DET @ CIN
0025900122,HOME,MNL @ STL
0025900123,AWAY,NYK @ PHW
0025900125,HOME,STL @ SYR
0025900124,AWAY,MNL @ DET
0025900127,HOME,DET @ MNL
0025900126,AWAY,BOS @ CIN
0025900129,HOME,MNL @ BOS
