GAME_ID,WINNER,MATCHUP
0025100009,HOME,FTW @ SYR
0025100008,HOME,BAL @ ROC
0025100012,HOME,FTW @ PHW
0025100011,AWAY,MNL @ ROC
0025100013,AWAY,NYK @ MIH
0025100010,AWAY,INO @ BAL
0025100016,HOME,INO @ BOS
0025100014,HOME,NYK @ FTW
0025100015,HOME,MNL @ SYR
0025100017,HOME,PHW @ BAL
0025100018,AWAY,NYK @ INO
0025100019,HOME,FTW @ MIH
0025100020,HOME,MNL @ PHW
0025100021,HOME,FTW @ INO
0025100025,HOME,PHW @ BOS
0025100024,AWAY,MNL @ NYK
0025100022,HOME,INO @ ROC
0025100023,HOME,SYR @ BAL
0025100028,HOME,MNL @ BOS
0025100026,HOME,INO @ SYR
0025100029,HOME,MIH @ FTW
0025100027,HOME,NYK @ ROC
0025100030,AWAY,MNL @ BAL
0025100031,AWAY,NYK @ PHW
0025100032,AWAY,ROC @ MIH
0025100033,AWAY,MNL @ INO
0025100034,HOME,FTW @ BOS
0025100035,HOME,BOS @ SYR
0025100036,AWAY,SYR @ PHW
0025100037,AWAY,MIH @ INO
0025100039,AWAY,SYR @ NYK
0025100040,HOME,PHW @ ROC
0025100042,HOME,MIH @ INO
0025100038,AWAY,BOS @ BAL
0025100041,HOME,FTW @ MNL
0025100043,AWAY,NYK @ BOS
0025100045,HOME,BAL @ SYR
0025100044,AWAY,ROC @ FTW
0025100046,HOME,MIH @ BAL
0025100047,HOME,BAL @ NYK
0025100049,HOME,MIH @ PHW
0025100048,HOME,ROC @ INO
0025100052,HOME,MIH @ BOS
0025100050,HOME,PHW @ NYK
0025100051,AWAY,SYR @ FTW
0025100053,HOME,ROC @ MNL
0025100055,HOME,SYR @ INO
0025100054,AWAY,BOS @ PHW
0025100057,AWAY,BOS @ NYK
0025100059,AWAY,MNL @ MIH
0025100058,HOME,FTW @ ROC
0025100056,HOME,PHW @ BAL
0025100060,HOME,PHW @ BOS
0025100062,HOME,INO @ MNL
0025100003,HOME,NYK @ SYR
0025100064,HOME,BAL @ FTW
0025100061,HOME,ROC @ MIH
0025100065,HOME,NYK @ PHW
0025100066,HOME,MIH @ ROC
0025100067,HOME,BOS @ MNL
0025100069,AWAY,ROC @ NYK
0025100070,HOME,MIH @ BAL
0025100068,HOME,FTW @ SYR
0025100072,HOME,SYR @ PHW
0025100071,HOME,BOS @ INO
0025100074,HOME,FTW @ MNL
0025100075,HOME,MIH @ ROC
0025100073,HOME,NYK @ BAL
0025100076,HOME,BAL @ BOS
0025100078,HOME,PHW @ NYK
0025100077,AWAY,ROC @ SYR
0025100079,AWAY,INO @ MIH
0025100080,HOME,MNL @ FTW
0025100081,AWAY,ROC @ BAL
0025100082,HOME,ROC @ PHW
0025100083,HOME,SYR @ INO
0025100084,AWAY,FTW @ BOS
0025100085,AWAY,SYR @ MNL
0025100086,HOME,SYR @ MIH
0025100087,HOME,NYK @ PHW
0025100088,HOME,BAL @ INO
0025100091,HOME,BAL @ MNL
0025100090,HOME,FTW @ MIH
0025100089,AWAY,SYR @ ROC
0025100092,HOME,NYK @ BOS
0025100094,AWAY,INO @ MNL
0025100095,HOME,PHW @ SYR
0025100093,HOME,ROC @ FTW
0025100096,AWAY,BAL @ MIH
0025100097,HOME,MIH @ NYK
0025100098,HOME,BOS @ PHW
0025100100,HOME,FTW @ SYR
0025100099,HOME,MNL @ INO
0025100101,HOME,MIH @ BOS
0025100102,HOME,BAL @ MNL
0025100103,HOME,MIH @ SYR
0025100105,HOME,FTW @ PHW
0025100104,HOME,NYK @ INO
0025100107,HOME,INO @ ROC
