GAME_ID,WINNER,MATCHUP
0027500004,HOME,NOJ @ ATL
0027500003,AWAY,LAL @ NYK
0027500002,HOME,KCK @ WAS
0027500001,AWAY,GOS @ CLE
0027500006,HOME,HOU @ BOS
0027500008,HOME,POR @ SEA
0027500007,AWAY,PHL @ CHI
0027500005,HOME,DET @ NOJ
0027500011,AWAY,DET @ ATL
0027500010,HOME,CLE @ NYK
0027500009,AWAY,CHI @ MIL
0027500012,AWAY,PHX @ POR
0027500013,HOME,GOS @ BUF
0027500015,HOME,PHX @ SEA
0027500014,HOME,NYK @ NOJ
0027500016,HOME,LAL @ PHL
0027500017,AWAY,GOS @ NYK
0027500021,HOME,SEA @ CHI
0027500019,AWAY,LAL @ MIL
0027500020,HOME,POR @ NOJ
0027500018,HOME,HOU @ BUF
0027500022,HOME,GOS @ BOS
0027500023,HOME,LAL @ DET
0027500024,AWAY,SEA @ KCK
0027500026,HOME,KCK @ NYK
0027503001,HOME,CHI @ CLE
0027500031,HOME,SEA @ LAL
0027500030,HOME,POR @ BOS
0027500028,HOME,HOU @ DET
0027500027,AWAY,BUF @ PHL
0027500029,HOME,MIL @ NOJ
0027500038,HOME,WAS @ GOS
0027500035,HOME,PHL @ NYK
0027500032,HOME,BOS @ CHI
0027500037,AWAY,POR @ MIL
0027500034,AWAY,NOJ @ CLE
0027500036,HOME,PHX @ KCK
0027500033,HOME,DET @ BUF
0027500041,AWAY,WAS @ SEA
0027500040,HOME,MIL @ HOU
0027500039,HOME,ATL @ LAL
0027500043,HOME,CLE @ WAS
0027500046,HOME,NYK @ HOU
0027500048,AWAY,PHX @ CHI
0027500044,HOME,DET @ MIL
0027500042,AWAY,ATL @ POR
0027500045,HOME,LAL @ KCK
0027500047,AWAY,PHL @ BUF
0027500049,HOME,BUF @ BOS
0027500052,HOME,SEA @ DET
0027500050,HOME,CHI @ PHL
0027500051,HOME,LAL @ NOJ
0027500053,AWAY,CLE @ ATL
0027500054,HOME,NYK @ GOS
0027500055,HOME,SEA @ WAS
0027500060,HOME,NYK @ LAL
0027500058,AWAY,DET @ CHI
0027500056,HOME,BOS @ MIL
0027500059,HOME,KCK @ POR
0027500061,HOME,PHX @ PHL
0027500057,AWAY,CLE @ NOJ
0027500067,HOME,SEA @ ATL
0027500064,HOME,LAL @ GOS
0027500062,AWAY,BOS @ DET
0027500063,HOME,CLE @ HOU
0027500066,HOME,PHX @ BUF
0027500065,AWAY,MIL @ WAS
0027500068,HOME,KCK @ LAL
0027500069,HOME,NYK @ POR
0027500070,AWAY,SEA @ NOJ
0027500071,AWAY,ATL @ BOS
0027500072,HOME,CLE @ GOS
0027500025,HOME,NYK @ PHX
0027500074,HOME,PHL @ MIL
0027500073,HOME,NOJ @ POR
0027500075,AWAY,WAS @ BUF
0027500080,HOME,NOJ @ LAL
0027500076,AWAY,ATL @ DET
0027500078,AWAY,KCK @ SEA
0027500077,AWAY,BUF @ HOU
0027500079,AWAY,MIL @ PHL
0027500082,HOME,CHI @ GOS
0027500083,HOME,HOU @ NYK
0027500081,HOME,BOS @ WAS
0027500084,HOME,SEA @ PHX
0027500089,HOME,PHX @ LAL
0027500090,HOME,WAS @ ATL
0027500088,AWAY,PHL @ BOS
0027500085,AWAY,BUF @ MIL
0027500086,HOME,CHI @ POR
0027500087,HOME,CLE @ SEA
0027500094,HOME,KCK @ GOS
0027500091,HOME,ATL @ NYK
0027500095,HOME,MIL @ DET
0027500096,HOME,NOJ @ HOU
0027500093,AWAY,CLE @ POR
0027500092,AWAY,BOS @ BUF
0027500097,HOME,WAS @ PHL
0027500098,HOME,CHI @ LAL
0027500100,HOME,NYK @ ATL
0027500099,HOME,GOS @ SEA
0027500104,HOME,POR @ NYK
0027503002,AWAY,HOU @ CLE
0027500101,AWAY,GOS @ NOJ
0027500103,HOME,LAL @ BUF
0027500110,HOME,POR @ DET
0027500105,HOME,CHI @ SEA
0027500108,AWAY,LAL @ HOU
0027500109,AWAY,MIL @ PHX
0027500107,HOME,KCK @ PHL
0027500106,HOME,GOS @ ATL
0027500111,HOME,ATL @ WAS
0027503003,AWAY,BUF @ CLE
0027500116,HOME,MIL @ LAL
0027500117,HOME,NYK @ BOS
0027500113,HOME,BUF @ DET
0027500115,HOME,HOU @ PHX
0027500118,HOME,POR @ PHL
0027500102,HOME,CHI @ KCK
0027500121,AWAY,NOJ @ ATL
0027500119,AWAY,CLE @ NYK
0027500120,AWAY,GOS @ WAS
0027500122,AWAY,POR @ BUF
0027500124,HOME,HOU @ LAL
0027500126,HOME,PHL @ ATL
0027500125,HOME,MIL @ SEA
0027503004,AWAY,BOS @ CLE
0027500129,AWAY,HOU @ WAS
0027500127,AWAY,CLE @ CHI
0027500128,HOME,GOS @ PHL
0027500130,AWAY,SEA @ NYK
0027500112,AWAY,POR @ LAL
0027500135,AWAY,SEA @ BOS
0027500133,HOME,KCK @ DET
0027500136,HOME,WAS @ HOU
0027500132,HOME,BUF @ PHX
0027500131,AWAY,ATL @ NOJ
0027500139,AWAY,NYK @ WAS
0027500137,AWAY,GOS @ MIL
0027503005,AWAY,KCK @ CLE
0027500141,HOME,BUF @ LAL
0027500140,HOME,ATL @ BOS
0027500142,HOME,MIL @ CHI
0027500144,HOME,POR @ PHX
0027500145,HOME,SEA @ PHL
0027500143,HOME,NOJ @ KCK
0027500150,HOME,PHX @ GOS
0027500148,AWAY,DET @ NYK
0027500149,HOME,PHL @ HOU
0027500147,HOME,CHI @ MIL
0027500146,HOME,BUF @ POR
0027503006,HOME,SEA @ CLE
0027500154,HOME,POR @ LAL
0027500152,HOME,NYK @ KCK
0027500153,AWAY,PHL @ NOJ
0027500155,AWAY,BOS @ NYK
0027500158,HOME,LAL @ WAS
0027500157,AWAY,HOU @ CHI
0027500156,HOME,GOS @ PHX
0027503007,HOME,POR @ CLE
0027500161,AWAY,SEA @ KCK
0027500159,AWAY,NOJ @ BUF
0027500162,AWAY,CHI @ BOS
0027500163,AWAY,LAL @ DET
0027500166,HOME,SEA @ HOU
0027500165,HOME,POR @ MIL
0027500164,HOME,NOJ @ PHL
0027500168,HOME,POR @ ATL
0027500167,HOME,CLE @ KCK
0027500172,HOME,NOJ @ BOS
0027500170,HOME,HOU @ DET
0027500174,AWAY,WAS @ PHX
0027500171,HOME,KCK @ MIL
0027500173,HOME,NYK @ PHL
0027500169,HOME,CLE @ BUF
0027500175,AWAY,BOS @ ATL
0027500180,HOME,SEA @ GOS
0027500176,HOME,BUF @ NYK
0027500177,HOME,DET @ HOU
