GAME_ID,WINNER,MATCHUP
0028500005,AWAY,WAS @ ATL
0028500008,AWAY,DEN @ GOS
0028500010,HOME,MIL @ DET
0028500006,AWAY,LAC @ SAC
0028500011,AWAY,HOU @ UTH
0028500004,HOME,BOS @ NJN
0028500009,HOME,PHX @ POR
0028500007,HOME,CLE @ CHI
0028500014,HOME,DET @ CHI
0028500013,HOME,ATL @ MIL
0028500016,AWAY,BOS @ CLE
0028500018,HOME,SAC @ DEN
0028500020,HOME,NJN @ IND
0028500017,HOME,SEA @ DAL
0028500019,AWAY,LAL @ SAN
0028500015,HOME,HOU @ LAC
0028500012,AWAY,PHL @ NYK
0028500021,HOME,GOS @ POR
0028500030,HOME,NYK @ ATL
0028500023,AWAY,CHI @ GOS
0028500029,HOME,NJN @ DET
0028500022,HOME,SEA @ HOU
0028500026,AWAY,DEN @ PHX
0028500197,AWAY,WAS @ CLE
0028500027,HOME,UTH @ SAN
0028500025,HOME,POR @ LAC
0028500024,AWAY,LAL @ DAL
0028500028,HOME,PHL @ MIL
0028500033,HOME,MIL @ BOS
0028500034,HOME,SAN @ UTH
0028500031,HOME,IND @ NJN
0028500032,HOME,DET @ PHL
0028500036,HOME,NYK @ GOS
0028500038,AWAY,CLE @ WAS
0028500040,AWAY,LAL @ PHX
0028500037,HOME,HOU @ SAC
0028500035,HOME,SEA @ DEN
0028500039,HOME,CHI @ LAC
0028500045,HOME,ATL @ BOS
0028500043,HOME,IND @ DET
0028500041,HOME,PHX @ UTH
0028500042,HOME,DAL @ SAN
0028500044,HOME,PHL @ NJN
0028500046,AWAY,LAL @ GOS
0028500051,AWAY,BOS @ WAS
0028500048,HOME,CHI @ SEA
0028500047,HOME,SAN @ HOU
0028500049,HOME,NJN @ MIL
0028500050,HOME,UTH @ POR
0028500053,AWAY,DET @ IND
0028500052,HOME,NYK @ LAC
0028500055,HOME,SAC @ DAL
0028500054,HOME,PHL @ ATL
0028500057,HOME,NYK @ POR
0028500056,AWAY,MIL @ CLE
0028500061,AWAY,CLE @ LAL
0028500063,HOME,NYK @ SEA
0028500059,HOME,POR @ HOU
0028500062,HOME,SAN @ MIL
0028500940,HOME,GOS @ UTH
0028500060,HOME,ATL @ DEN
0028500058,HOME,WAS @ NJN
0028500067,HOME,SEA @ GOS
0028500064,HOME,CHI @ DET
0028500065,AWAY,SAN @ WAS
0028500069,AWAY,ATL @ PHX
0028500066,AWAY,POR @ DAL
0028500068,HOME,IND @ PHL
0028500070,AWAY,MIL @ NYK
0028500075,HOME,LAC @ HOU
0028500072,AWAY,CLE @ SAC
0028500074,AWAY,LAL @ UTH
0028500071,HOME,DAL @ DEN
0028500073,HOME,CHI @ NJN
0028500077,HOME,DEN @ LAL
0028500078,HOME,PHX @ BOS
0028500076,HOME,ATL @ GOS
0028500080,AWAY,DET @ WAS
0028500081,HOME,SEA @ POR
0028500079,AWAY,SAN @ PHL
0028500087,AWAY,CHI @ NYK
0028500089,AWAY,BOS @ DET
0028500086,HOME,SEA @ SAC
0028500088,HOME,CLE @ UTH
0028500082,HOME,PHX @ IND
0028500085,AWAY,ATL @ LAC
0028500083,HOME,MIL @ NJN
0028500084,AWAY,HOU @ DAL
0028500091,HOME,SAC @ GOS
0028500090,HOME,CLE @ POR
0028500092,HOME,MIL @ PHL
