GAME_ID,WINNER,MATCHUP
0020000002,AWAY,CLE @ NJN
0020000008,AWAY,MIN @ HOU
0020000009,HOME,IND @ SAS
0020000007,HOME,MIL @ DAL
0020000010,HOME,LAC @ UTA
0020000001,AWAY,PHI @ NYK
0020000012,AWAY,LAL @ POR
0020000006,AWAY,SAC @ CHI
0020000003,HOME,WAS @ ORL
0020000004,AWAY,CHH @ ATL
0020000005,AWAY,DET @ TOR
0020000013,HOME,SEA @ VAN
0020000011,HOME,PHX @ GSW
0020000019,AWAY,UTA @ LAL
0020000016,HOME,ORL @ MIA
0020000015,HOME,TOR @ PHI
0020000020,HOME,DEN @ SEA
0020000017,AWAY,WAS @ CHH
0020000018,HOME,SAC @ CLE
0020000014,HOME,DET @ BOS
0020000023,HOME,MIL @ HOU
0020000024,HOME,MIN @ SAS
0020000025,HOME,GSW @ DEN
0020000022,HOME,IND @ DAL
0020000021,HOME,ATL @ NYK
0020000026,HOME,POR @ PHX
0020000027,AWAY,VAN @ LAC
0020000033,AWAY,NJN @ CHI
0020000030,AWAY,PHI @ ORL
0020000032,AWAY,SAC @ DET
0020000031,HOME,MIA @ CHH
0020000028,HOME,TOR @ BOS
0020000029,AWAY,NYK @ WAS
0020000039,HOME,CHI @ IND
0020000034,AWAY,CHH @ NJN
0020000042,AWAY,UTA @ DAL
0020000043,AWAY,PHX @ DEN
0020000035,AWAY,PHI @ MIA
0020000040,HOME,DET @ MIL
0020000041,HOME,SAC @ MIN
0020000046,AWAY,POR @ SEA
0020000036,AWAY,ORL @ ATL
0020000037,HOME,WAS @ TOR
0020000047,AWAY,LAL @ VAN
0020000038,HOME,BOS @ CLE
0020000045,AWAY,SAS @ GSW
0020000044,HOME,HOU @ LAC
0020000049,HOME,LAC @ LAL
0020000048,HOME,HOU @ PHX
0020000051,AWAY,DAL @ DEN
0020000052,HOME,MIN @ UTA
0020000053,HOME,POR @ SAC
0020000050,HOME,SEA @ ORL
0020000054,HOME,ATL @ VAN
0020000058,HOME,LAL @ HOU
0020000056,AWAY,WAS @ CHI
0020000060,HOME,ATL @ POR
0020000059,HOME,SAS @ PHX
0020000057,AWAY,NYK @ MIL
0020000055,HOME,BOS @ TOR
0020000066,HOME,MIL @ IND
0020000068,HOME,LAL @ SAS
0020000069,HOME,MIN @ DEN
0020000067,AWAY,VAN @ DAL
0020000061,AWAY,CLE @ NYK
0020000065,HOME,SEA @ MIA
0020000062,HOME,DET @ PHI
0020000071,HOME,GSW @ SAC
0020000064,AWAY,CHH @ ORL
0020000070,AWAY,UTA @ LAC
0020000063,AWAY,NJN @ WAS
0020000076,HOME,VAN @ HOU
0020000072,AWAY,DET @ NJN
0020000074,HOME,ORL @ CHI
0020000078,HOME,DEN @ POR
0020000077,HOME,ATL @ PHX
0020000075,AWAY,PHI @ MIN
0020000073,AWAY,SEA @ CHH
0020000082,HOME,SAS @ DAL
0020000083,AWAY,MIA @ UTA
0020000081,HOME,CLE @ TOR
0020000085,AWAY,SAC @ GSW
0020000079,AWAY,NYK @ BOS
0020000084,HOME,ATL @ LAC
0020000080,AWAY,IND @ WAS
0020000090,HOME,DET @ IND
0020000087,HOME,SEA @ NJN
0020000093,HOME,VAN @ SAS
0020000086,HOME,CHH @ NYK
0020000088,HOME,BOS @ PHI
0020000091,AWAY,TOR @ CHI
0020000095,HOME,HOU @ POR
0020000092,AWAY,MIN @ MIL
0020000094,HOME,MIA @ PHX
0020000089,HOME,WAS @ CLE
0020000097,HOME,LAC @ DEN
0020000098,HOME,HOU @ LAL
0020000100,HOME,DAL @ SAC
0020000096,HOME,SEA @ DET
0020000099,AWAY,ORL @ GSW
0020000101,AWAY,POR @ NJN
0020000102,AWAY,DAL @ LAC
0020000106,HOME,CHI @ HOU
0020000107,HOME,UTA @ SAS
0020000108,HOME,DEN @ LAL
0020000103,HOME,CHH @ MIA
0020000109,HOME,ORL @ SAC
0020000110,HOME,NYK @ SEA
0020000104,HOME,POR @ ATL
0020000105,HOME,GSW @ CLE
0020000112,HOME,MIA @ NJN
0020000113,HOME,CLE @ PHI
0020000115,HOME,ATL @ MIL
0020000117,HOME,DAL @ PHX
0020000116,HOME,GSW @ MIN
0020000114,AWAY,IND @ DET
0020000111,HOME,WAS @ BOS
0020000118,HOME,NYK @ LAC
0020000121,HOME,CHH @ HOU
0020000122,HOME,CHI @ DEN
0020000123,HOME,ORL @ UTA
0020000124,AWAY,LAL @ SAC
0020000120,AWAY,POR @ TOR
0020000125,AWAY,LAC @ VAN
0020000119,AWAY,SAS @ WAS
0020000129,AWAY,GSW @ IND
0020000127,HOME,MIA @ PHI
0020000131,HOME,SAS @ MIN
0020000130,HOME,CLE @ MIL
0020000132,AWAY,NYK @ PHX
0020000133,AWAY,DAL @ SEA
0020000128,AWAY,DET @ CHH
0020000126,HOME,ATL @ BOS
0020000134,HOME,IND @ NJN
0020000139,HOME,PHX @ HOU
0020000140,HOME,LAL @ DEN
0020000141,HOME,CHI @ UTA
0020000136,HOME,POR @ MIA
0020000137,AWAY,MIN @ ATL
0020000138,HOME,MIL @ TOR
0020000142,AWAY,SEA @ LAC
0020000143,AWAY,DAL @ VAN
0020000135,HOME,BOS @ WAS
0020000147,HOME,CHI @ LAL
0020000144,HOME,GSW @ NYK
0020000146,AWAY,CHH @ DET
0020000145,AWAY,POR @ ORL
0020000150,AWAY,DAL @ UTA
0020000149,AWAY,CHH @ TOR
0020000151,AWAY,NJN @ LAC
0020000152,AWAY,DEN @ VAN
0020000148,AWAY,PHI @ BOS
0020000156,AWAY,HOU @ IND
0020000157,AWAY,SEA @ DAL
0020000154,AWAY,NYK @ ORL
0020000155,HOME,DET @ CLE
0020000153,AWAY,POR @ WAS
0020000158,HOME,CHI @ GSW
0020000165,HOME,SEA @ SAS
0020000166,HOME,DEN @ UTA
0020000168,HOME,GSW @ LAL
0020000160,AWAY,CLE @ MIA
0020000169,HOME,CHI @ SAC
0020000163,AWAY,POR @ MIL
0020000164,HOME,VAN @ MIN
0020000167,HOME,NJN @ PHX
0020000162,HOME,NYK @ ATL
0020000161,HOME,PHI @ CHH
0020000159,HOME,HOU @ BOS
0020000170,AWAY,TOR @ IND
0020000175,HOME,WAS @ IND
0020000177,HOME,SAS @ DEN
0020000180,HOME,MIN @ LAL
0020000178,HOME,NJN @ UTA
0020000176,AWAY,CHH @ MIL
0020000181,HOME,LAC @ SEA
0020000179,HOME,GSW @ PHX
0020000174,HOME,VAN @ DET
0020000172,AWAY,PHI @ ATL
0020000173,HOME,MIA @ CLE
0020000171,HOME,ORL @ BOS
0020000188,HOME,PHI @ SAS
0020000187,HOME,DEN @ DAL
0020000185,AWAY,HOU @ MIA
0020000182,AWAY,TOR @ NYK
0020000192,HOME,NJN @ POR
0020000191,HOME,SEA @ SAC
0020000184,HOME,ATL @ ORL
0020000186,HOME,CLE @ CHH
0020000190,HOME,MIN @ GSW
0020000189,AWAY,PHX @ LAC
0020000183,HOME,MIL @ WAS
0020000195,AWAY,UTA @ DET
0020000194,HOME,CHI @ TOR
0020000193,AWAY,VAN @ BOS
0020000196,HOME,VAN @ NYK
0020000197,AWAY,MIL @ ORL
0020000198,AWAY,LAL @ LAC
0020000205,AWAY,SAC @ HOU
0020000199,AWAY,UTA @ NJN
0020000204,HOME,TOR @ DAL
0020000206,HOME,IND @ LAL
0020000201,AWAY,MIL @ MIA
0020000207,AWAY,SEA @ POR
0020000203,AWAY,MIN @ CHI
0020000202,AWAY,BOS @ CLE
0020000200,AWAY,ATL @ WAS
0020000214,HOME,SAC @ SAS
0020000209,HOME,WAS @ PHI
0020000208,AWAY,MIA @ NYK
0020000213,AWAY,DEN @ MIN
0020000210,AWAY,UTA @ ORL
0020000212,HOME,NJN @ DET
0020000211,HOME,TOR @ CHH
0020000216,HOME,PHX @ VAN
0020000215,HOME,GSW @ LAC
0020000219,AWAY,HOU @ DEN
0020000221,HOME,DAL @ POR
0020000222,HOME,LAL @ SEA
0020000218,HOME,BOS @ MIL
0020000217,AWAY,CHI @ ATL
0020000220,HOME,IND @ GSW
0020000230,HOME,SAS @ LAL
0020000226,AWAY,UTA @ MIA
0020000224,HOME,CHH @ PHI
0020000231,HOME,PHX @ SAC
0020000229,AWAY,NYK @ CHI
0020000225,HOME,NJN @ ORL
0020000228,HOME,CLE @ DET
0020000227,HOME,LAC @ TOR
0020000232,AWAY,IND @ VAN
0020000223,AWAY,MIN @ BOS
0020000234,AWAY,ORL @ NJN
0020000239,AWAY,POR @ HOU
0020000240,HOME,SEA @ DEN
0020000233,HOME,MIN @ NYK
0020000237,HOME,MIL @ ATL
0020000236,HOME,UTA @ CHH
0020000238,AWAY,PHI @ CLE
0020000241,AWAY,DAL @ GSW
0020000235,AWAY,MIA @ WAS
0020000246,HOME,DAL @ LAL
0020000245,HOME,POR @ PHX
0020000244,HOME,IND @ MIL
0020000247,HOME,GSW @ SEA
0020000243,HOME,WAS @ DET
0020000242,HOME,LAC @ BOS
0020000248,AWAY,SAS @ VAN
0020000250,HOME,PHI @ DEN
0020000249,HOME,LAC @ NYK
0020000254,HOME,NJN @ IND
0020000256,HOME,DAL @ HOU
0020000257,HOME,TOR @ UTA
0020000258,HOME,PHI @ LAL
0020000259,HOME,SAS @ SAC
0020000255,HOME,CHI @ MIN
0020000251,HOME,BOS @ ORL
0020000252,AWAY,MIA @ ATL
0020000253,HOME,CHH @ CLE
0020000260,HOME,DET @ VAN
0020000261,AWAY,MIL @ NJN
0020000266,HOME,NYK @ DAL
0020000263,HOME,DEN @ MIA
0020000265,AWAY,CLE @ CHI
0020000268,HOME,TOR @ POR
0020000269,AWAY,DET @ SEA
0020000264,HOME,IND @ CHH
0020000267,HOME,LAL @ GSW
0020000262,AWAY,LAC @ WAS
0020000273,AWAY,NYK @ SAS
0020000274,HOME,VAN @ UTA
0020000271,AWAY,PHX @ MIL
0020000272,HOME,WAS @ MIN
0020000270,HOME,DEN @ ORL
0020000276,HOME,PHX @ NJN
0020000279,HOME,CHI @ DAL
0020000280,AWAY,SEA @ LAL
0020000277,HOME,ATL @ MIA
0020000282,HOME,HOU @ SAC
0020000283,AWAY,PHI @ POR
0020000278,HOME,LAC @ CHH
0020000281,AWAY,TOR @ GSW
0020000275,AWAY,IND @ BOS
0020000286,HOME,CHH @ IND
0020000289,HOME,CHI @ SAS
0020000290,HOME,GSW @ UTA
0020000284,HOME,DEN @ NYK
0020000287,HOME,WAS @ MIL
0020000291,HOME,DET @ POR
0020000292,AWAY,HOU @ SEA
0020000288,HOME,LAC @ MIN
0020000285,HOME,ATL @ CLE
0020000293,AWAY,PHI @ VAN
0020000295,AWAY,DAL @ NJN
