GAME_ID,WINNER,MATCHUP
0029300009,HOME,WAS @ PHL
0029300013,HOME,PHX @ LAL
0029300012,HOME,GOS @ SAN
0029300005,AWAY,NYK @ BOS
0029300006,AWAY,MIL @ CLE
0029300002,HOME,NJN @ HOU
0029300007,AWAY,ORL @ MIA
0029300011,HOME,MIN @ DET
0029300008,HOME,POR @ LAC
0029300003,HOME,IND @ ATL
0029300004,HOME,DAL @ UTH
0029300010,HOME,DEN @ SAC
0029300001,AWAY,CHI @ CHH
0029300015,AWAY,MIA @ CHI
0029300019,HOME,PHL @ ORL
0029300021,AWAY,DET @ IND
0029300017,AWAY,GOS @ DAL
0029300018,AWAY,CHH @ MIL
0029300014,AWAY,UTH @ MIN
0029300016,HOME,LAL @ SEA
0029300020,AWAY,BOS @ WAS
0029300024,AWAY,NJN @ SAN
0029300025,AWAY,NYK @ CLE
0029300023,HOME,SAC @ PHX
0029300022,AWAY,HOU @ POR
0029300026,HOME,LAC @ DEN
0029300028,HOME,ATL @ CHI
0029300027,HOME,MIL @ BOS
0029300029,AWAY,SEA @ UTH
0029300038,AWAY,HOU @ GOS
0029300030,HOME,MIN @ SAN
0029300035,AWAY,POR @ LAL
0029300032,HOME,PHL @ NYK
0029300033,HOME,CHH @ CLE
0029300031,AWAY,WAS @ DET
0029300036,HOME,IND @ ORL
0029300034,AWAY,PHX @ LAC
0029300039,AWAY,NJN @ DAL
0029300037,HOME,DEN @ SEA
0029300044,AWAY,BOS @ PHL
0029300042,HOME,SAN @ PHX
0029300040,HOME,ATL @ UTH
0029300043,AWAY,CHI @ MIL
0029300041,HOME,LAL @ SAC
0029300045,AWAY,NYK @ WAS
0029300046,AWAY,IND @ NJN
0029300051,HOME,MIN @ HOU
0029300049,HOME,MIL @ MIA
0029300048,HOME,DET @ LAC
0029300047,HOME,ORL @ CHH
0029300050,HOME,CLE @ SEA
0029300057,AWAY,CLE @ GOS
0029300055,AWAY,DEN @ LAL
0029300059,AWAY,CHH @ BOS
0029300060,AWAY,MIA @ ORL
0029300054,AWAY,NYK @ IND
0029300061,HOME,ATL @ POR
0029300058,HOME,DET @ UTH
0029300052,AWAY,DAL @ MIN
0029300053,HOME,SAN @ SAC
0029300056,HOME,PHL @ WAS
0029300064,AWAY,BOS @ CHI
0029300066,HOME,MIL @ NYK
0029300069,AWAY,PHL @ NJN
0029300065,HOME,PHX @ HOU
0029300068,HOME,SAN @ LAC
0029300067,AWAY,UTH @ DAL
0029300062,AWAY,GOS @ DEN
0029300063,HOME,ATL @ SEA
0029300070,HOME,CLE @ LAL
0029300071,HOME,SAC @ NJN
0029300072,HOME,DET @ POR
0029300073,AWAY,HOU @ PHL
