GAME_ID,WINNER,MATCHUP
0028400006,AWAY,PHX @ GOS
0028400003,AWAY,BOS @ DET
0028400001,HOME,UTH @ SEA
0028400005,HOME,WAS @ CHI
0028400004,AWAY,ATL @ NJN
0028400002,HOME,CLE @ PHL
0028400016,HOME,DET @ NYK
0028400013,HOME,CHI @ MIL
0028400014,AWAY,NJN @ CLE
0028400015,AWAY,POR @ KCK
0028400007,HOME,LAL @ SAN
0028400010,AWAY,LAC @ UTH
0028400008,HOME,GOS @ DEN
0028400011,AWAY,WAS @ IND
0028400009,AWAY,HOU @ DAL
0028400012,AWAY,PHL @ ATL
0028400018,AWAY,PHX @ SEA
0028400017,HOME,LAL @ DAL
0028400019,HOME,MIL @ CHI
0028400020,HOME,GOS @ LAL
0028400028,HOME,CLE @ DET
0028400022,HOME,ATL @ WAS
0028400021,HOME,DAL @ HOU
0028400029,HOME,LAC @ PHX
0028400023,HOME,SEA @ POR
0028400025,AWAY,CHI @ KCK
0028400024,HOME,NYK @ UTH
0028400026,HOME,DEN @ SAN
0028400027,AWAY,PHL @ NJN
0028400032,HOME,NJN @ BOS
0028400030,HOME,WAS @ MIL
0028400031,AWAY,DAL @ IND
0028400033,AWAY,DET @ ATL
0028400039,AWAY,SAN @ GOS
0028400034,HOME,LAL @ SEA
0028400036,AWAY,HOU @ KCK
0028400035,HOME,CHI @ DEN
0028400037,HOME,NYK @ LAC
0028400038,HOME,POR @ PHX
0028400040,HOME,SAN @ LAL
0028400043,HOME,DET @ BOS
0028400042,AWAY,MIL @ WAS
0028400044,AWAY,IND @ CLE
0028400045,HOME,SEA @ UTH
0028400041,HOME,DAL @ PHL
0028400050,HOME,WAS @ ATL
0028400051,HOME,UTH @ GOS
0028400053,HOME,NYK @ HOU
0028400052,HOME,CLE @ MIL
0028400048,AWAY,DEN @ KCK
0028400049,AWAY,POR @ LAC
0028400046,HOME,IND @ NJN
0028400047,AWAY,PHX @ DAL
0028400054,HOME,POR @ LAL
0028400055,HOME,NYK @ SAN
0028400056,AWAY,DET @ CLE
0028400057,HOME,DEN @ LAC
0028400058,AWAY,DEN @ LAL
0028400060,HOME,KCK @ HOU
0028400062,HOME,PHX @ POR
0028400061,HOME,SEA @ SAN
0028400059,HOME,NYK @ DAL
0028400066,HOME,LAC @ BOS
0028400065,AWAY,CHI @ DET
0028400064,HOME,ATL @ MIL
0028400068,HOME,SAN @ UTH
0028400067,HOME,WAS @ NJN
0028400063,HOME,IND @ PHL
