GAME_ID,WINNER,MATCHUP
0020100007,HOME,ATL @ HOU
0020100003,HOME,IND @ NJN
0020100008,HOME,LAC @ SAS
0020100006,HOME,DET @ DAL
0020100012,HOME,POR @ LAL
0020100009,AWAY,MIL @ UTA
0020100002,HOME,WAS @ NYK
0020100011,HOME,SEA @ SAC
0020100005,HOME,PHI @ MIN
0020100010,AWAY,DEN @ PHX
0020100004,HOME,TOR @ ORL
0020100001,AWAY,BOS @ CLE
0020100015,HOME,TOR @ MIA
0020100017,HOME,GSW @ POR
0020100016,AWAY,IND @ CHI
0020100014,HOME,CLE @ CHH
0020100013,AWAY,NJN @ BOS
0020100021,HOME,LAC @ HOU
0020100022,AWAY,MIL @ DEN
0020100023,AWAY,LAL @ UTA
0020100019,AWAY,DAL @ PHI
0020100024,HOME,SAS @ SEA
0020100018,AWAY,WAS @ ATL
0020100020,AWAY,DET @ MEM
0020100025,AWAY,PHX @ GSW
0020100027,HOME,ORL @ IND
0020100033,HOME,PHX @ LAL
0020100029,AWAY,CLE @ MIA
0020100032,HOME,MEM @ MIN
0020100031,HOME,NJN @ DET
0020100030,HOME,NYK @ CHH
0020100026,HOME,DAL @ TOR
0020100028,HOME,CHI @ BOS
0020100037,HOME,CHH @ NJN
0020100041,AWAY,MIN @ HOU
0020100042,AWAY,SAC @ DEN
0020100043,AWAY,SAS @ POR
0020100040,HOME,BOS @ MIL
0020100039,HOME,NYK @ CHI
0020100038,AWAY,UTA @ SEA
0020100035,HOME,MIA @ ATL
0020100036,AWAY,ORL @ CLE
0020100044,AWAY,GSW @ LAC
0020100034,HOME,PHI @ WAS
0020100051,HOME,UTA @ LAL
0020100050,HOME,SAS @ SAC
0020100048,AWAY,HOU @ PHX
0020100047,HOME,WAS @ DET
0020100046,HOME,IND @ TOR
0020100045,AWAY,DAL @ MEM
0020100049,HOME,POR @ GSW
0020100052,AWAY,SEA @ ORL
0020100053,HOME,ATL @ LAC
0020100060,HOME,DEN @ HOU
0020100058,HOME,ORL @ SAS
0020100059,HOME,CHH @ DAL
0020100054,AWAY,IND @ PHI
0020100056,HOME,SEA @ MIA
0020100062,HOME,UTA @ POR
0020100061,HOME,MEM @ PHX
0020100057,HOME,NYK @ MIN
0020100055,AWAY,SAC @ CLE
0020100066,HOME,SAC @ IND
0020100068,HOME,ATL @ UTA
0020100065,HOME,CLE @ NYK
0020100067,AWAY,DET @ CHI
0020100064,HOME,GSW @ TOR
0020100063,HOME,WAS @ BOS
0020100069,HOME,MEM @ LAC
0020100071,HOME,SEA @ NJN
0020100075,HOME,PHI @ HOU
0020100074,HOME,DEN @ DAL
0020100077,HOME,LAC @ POR
0020100076,HOME,ATL @ PHX
0020100073,HOME,CHI @ MIN
0020100072,HOME,MIA @ MIL
0020100070,AWAY,SAS @ CHH
0020100079,HOME,NYK @ IND
0020100082,HOME,HOU @ DEN
0020100083,HOME,MEM @ LAL
0020100081,HOME,SAC @ ORL
0020100080,HOME,SEA @ BOS
0020100078,AWAY,GSW @ WAS
0020100088,HOME,POR @ IND
0020100084,HOME,CLE @ NJN
0020100092,HOME,ATL @ SAS
0020100091,AWAY,PHI @ DAL
0020100093,AWAY,TOR @ UTA
