GAME_ID,WINNER
20800379,HOME
20800388,AWAY
20800382,AWAY
20800387,HOME
20800384,AWAY
20800378,AWAY
20800383,AWAY
20800377,AWAY
20800381,HOME
20800386,HOME
20800390,HOME
20800395,HOME
20800392,AWAY
20800397,HOME
20800391,AWAY
20800389,AWAY
20800394,HOME
20800393,AWAY
20800398,HOME
20800396,HOME
20800400,HOME
20800399,HOME
20800402,AWAY
20800401,AWAY
20800403,HOME
20800407,HOME
20800406,HOME
20800405,AWAY
20800404,AWAY
20800408,AWAY
20800409,HOME
20800414,HOME
20800419,HOME
20800413,HOME
20800411,HOME
20800410,HOME
20800415,HOME
20800420,HOME
20800418,HOME
20800412,AWAY
20800417,AWAY
20800416,HOME
20800424,HOME
20800423,HOME
20800421,HOME
20800425,AWAY
20800422,AWAY
20800428,AWAY
20800432,HOME
20800426,HOME
20800430,HOME
20800435,HOME
20800429,HOME
20800434,AWAY
20800433,HOME
20800427,AWAY
20800431,HOME
20800440,HOME
20800439,AWAY
20800442,HOME
20800436,HOME
20800438,HOME
20800443,HOME
20800437,AWAY
20800441,AWAY
20800444,AWAY
20800449,HOME
20800446,HOME
20800445,AWAY
20800448,AWAY
20800447,AWAY
20800450,HOME
20800455,AWAY
20800453,HOME
20800454,AWAY
20800452,AWAY
20800457,HOME
20800451,HOME
20800456,HOME
20800460,HOME
20800464,AWAY
20800465,HOME
20800459,AWAY
20800458,AWAY
20800463,HOME
20800462,HOME
20800461,AWAY
20800466,HOME
20800469,HOME
20800467,AWAY
20800470,AWAY
20800468,HOME
20800472,AWAY
20800471,HOME
20800475,HOME
20800473,HOME
20800478,AWAY
20800487,HOME
20800476,HOME
20800481,HOME
20800480,AWAY
20800485,HOME
20800474,HOME
20800479,HOME
20800484,HOME
20800483,HOME
20800477,HOME
20800482,AWAY
20800486,AWAY
20800494,HOME
20800488,HOME
20800493,HOME
20800492,AWAY
20800491,HOME
20800490,HOME
20800489,HOME
20800500,HOME
20800499,HOME
20800495,HOME
20800498,HOME
20800497,AWAY
20800496,HOME
20800504,HOME
20800501,AWAY
20800505,HOME
20800503,HOME
20800502,HOME
20800508,HOME
20800513,AWAY
20800507,HOME
20800511,HOME
20800510,HOME
20800509,AWAY
20800512,HOME
20800506,HOME
20800515,HOME
20800520,HOME
20800514,AWAY
20800517,AWAY
20800521,HOME
20800525,AWAY
20800519,AWAY
20800524,HOME
20800518,HOME
20800523,HOME
20800522,AWAY
20800516,AWAY
20800527,HOME
20800526,HOME
20800529,HOME
20800534,HOME
20800528,HOME
20800538,HOME
20800531,HOME
20800536,AWAY
20800530,HOME
20800535,HOME
20800539,HOME
20800533,AWAY
20800532,HOME
20800537,AWAY
20800543,HOME
20800542,AWAY
20800541,HOME
20800540,AWAY
20800545,HOME
20800544,HOME
20800549,AWAY
20800547,AWAY
20800552,HOME
20800550,HOME
20800548,AWAY
20800546,AWAY
20800551,HOME
20800554,HOME
20800557,AWAY
20800555,HOME
20800553,AWAY
20800558,HOME
20800556,AWAY
20800563,HOME
20800562,AWAY
20800561,AWAY
20800560,AWAY
20800565,AWAY
20800559,AWAY
20800564,HOME
20800570,HOME
20800569,HOME
20800574,HOME
20800567,HOME
20800575,AWAY
20800568,AWAY
20800573,AWAY
20800572,HOME
20800566,HOME
20800571,AWAY
20800576,AWAY
20800579,HOME
20800578,HOME
20800577,AWAY
20800589,AWAY
20800583,HOME
20800581,HOME
20800580,HOME
20800585,HOME
20800584,AWAY
20800588,HOME
20800582,HOME
20800587,AWAY
20800586,AWAY
20800595,HOME
20800594,AWAY
20800593,AWAY
20800597,AWAY
20800596,HOME
20800590,AWAY
20800598,HOME
20800592,AWAY
20800591,HOME
20800600,AWAY
20800599,AWAY
20800605,HOME
20800610,HOME
20800603,HOME
20800602,AWAY
20800612,HOME
20800601,HOME
20800604,AWAY
20800609,AWAY
20800608,HOME
20800607,HOME
20800606,AWAY
20800611,HOME
20800615,HOME
20800614,HOME
20800613,AWAY
20800616,HOME
20800620,HOME
20800619,AWAY
20800623,HOME
20800625,AWAY
20800624,AWAY
20800618,HOME
20800617,HOME
20800622,HOME
20800627,AWAY
20800621,HOME
20800626,AWAY
20800629,HOME
20800628,AWAY
20800635,HOME
20800634,HOME
20800633,HOME
20800637,HOME
20800636,AWAY
20800630,HOME
20800639,HOME
20800638,AWAY
20800632,HOME
20800631,AWAY
20800640,HOME
20800641,HOME
20800645,HOME
20800644,AWAY
20800643,HOME
20800642,AWAY
20800648,AWAY
20800653,HOME
20800647,HOME
20800652,HOME
20800646,HOME
20800650,AWAY
20800649,HOME
20800654,HOME
20800651,HOME
20800657,HOME
20800656,HOME
20800655,AWAY
20800660,HOME
20800659,HOME
20800658,AWAY
20800661,AWAY
20800663,HOME
20800662,HOME
20800666,AWAY
20800665,AWAY
20800664,AWAY
20800675,AWAY
20800669,HOME
20800668,HOME
20800672,AWAY
20800671,HOME
20800670,AWAY
20800674,HOME
20800673,HOME
20800678,AWAY
20800667,HOME
20800677,HOME
20800676,HOME
20800679,HOME
20800680,AWAY
20800685,HOME
20800683,HOME
20800688,HOME
20800687,AWAY
20800686,HOME
20800690,AWAY
20800684,AWAY
20800689,HOME
20800682,HOME
20800681,AWAY
20800691,AWAY
20800694,AWAY
20800699,HOME
20800693,AWAY
20800697,HOME
20800695,AWAY
20800700,AWAY
20800698,HOME
20800692,AWAY
20800696,HOME
20800701,HOME
20800702,HOME
20800705,HOME
20800704,AWAY
20800703,AWAY
20800709,AWAY
20800708,HOME
20800706,AWAY
20800710,AWAY
20800713,AWAY
20800707,AWAY
20800712,HOME
20800711,HOME
20800714,HOME
20800719,HOME
20800718,HOME
20800716,AWAY
20800715,AWAY
20800717,HOME
20800720,HOME
20800724,AWAY
20800726,AWAY
20800725,HOME
20800730,HOME
20800729,HOME
20800723,HOME
20800728,AWAY
20800722,AWAY
20800727,AWAY
20800721,AWAY
20800732,AWAY
20800731,HOME
20800733,HOME
20800736,AWAY
20800735,HOME
20800740,AWAY
20800734,AWAY
20800739,HOME
20800738,HOME
20800737,AWAY
20800742,HOME
20800741,AWAY
20800743,AWAY
20800748,HOME
20800744,HOME
20800746,HOME
20800745,HOME
20800747,HOME
20800749,AWAY
20800753,HOME
20800751,AWAY
20800750,AWAY
20800752,HOME
20800758,AWAY
20800756,HOME
20800755,HOME
20800757,HOME
20800754,HOME
20800759,HOME
20800761,HOME
20800763,HOME
20800760,HOME
20800762,HOME
20800768,AWAY
20800766,AWAY
20800772,HOME
20800764,HOME
20800769,HOME
20800771,HOME
20800765,HOME
20800770,HOME
20800767,AWAY
20800776,HOME
20800781,HOME
20800775,AWAY
20800774,HOME
20800773,HOME
20800778,AWAY
20800783,HOME
20800780,AWAY
20800777,HOME
20800782,HOME
20800779,HOME
20800784,HOME
20800785,AWAY
20800786,AWAY
20800787,HOME
20800792,HOME
20800797,HOME
20800789,HOME
20800794,HOME
20800788,HOME
20800793,AWAY
20800791,AWAY
20800796,HOME
20800790,HOME
20800795,HOME
20800803,AWAY
20800800,AWAY
20800798,HOME
20800808,AWAY
20800801,AWAY
20800806,AWAY
20800805,HOME
20800802,HOME
20800807,AWAY
20800799,AWAY
20800804,HOME
20800810,HOME
20800809,AWAY
20800816,HOME
20800821,HOME
20800812,HOME
20800817,HOME
20800814,AWAY
20800813,AWAY
20800818,AWAY
20800811,AWAY
20800815,AWAY
20800820,HOME
20800819,HOME
20800822,HOME
20800823,AWAY
20800826,HOME
20800825,HOME
20800824,HOME
20800830,HOME
20800835,HOME
20800832,HOME
20800834,AWAY
20800828,HOME
20800833,HOME
20800831,HOME
20800827,HOME
20800829,AWAY
20800838,AWAY
20800837,HOME
20800836,HOME
20800841,HOME
20800840,AWAY
20800839,HOME
20800848,HOME
20800845,HOME
20800842,HOME
20800847,HOME
20800844,HOME
20800843,HOME
20800846,AWAY
20800849,HOME
20800853,AWAY
20800858,HOME
20800857,HOME
20800854,AWAY
20800851,AWAY
20800856,HOME
20800850,HOME
20800855,HOME
20800860,HOME
20800852,HOME
20800859,AWAY
20800861,HOME
20800862,HOME
20800868,AWAY
20800873,AWAY
20800866,HOME
20800871,HOME
20800867,HOME
20800864,AWAY
20800869,AWAY
20800863,HOME
20800865,HOME
20800870,HOME
20800875,AWAY
20800872,HOME
20800874,HOME
20800876,AWAY
20800877,HOME
20800879,HOME
20800878,AWAY
20800881,HOME
20800880,HOME
20800882,AWAY
20800883,AWAY
20800888,AWAY
20800885,AWAY
20800886,AWAY
20800891,AWAY
20800890,HOME
20800887,HOME
20800884,HOME
20800889,HOME
20800892,AWAY
20800894,AWAY
20800893,AWAY
20800896,AWAY
20800895,HOME
