GAME_ID,WINNER,MATCHUP
0021400002,HOME,DAL @ SAS
0021400003,AWAY,HOU @ LAL
0021400001,HOME,ORL @ NOP
0021400010,AWAY,CHI @ NYK
0021400006,HOME,BKN @ BOS
0021400013,HOME,LAL @ PHX
0021400007,HOME,WAS @ MIA
0021400015,HOME,OKC @ POR
0021400005,HOME,PHI @ IND
0021400012,AWAY,HOU @ UTA
0021400011,HOME,DET @ DEN
0021400014,AWAY,GSW @ SAC
0021400004,HOME,MIL @ CHA
0021400008,HOME,ATL @ TOR
0021400009,HOME,MIN @ MEM
0021400018,AWAY,NYK @ CLE
0021400016,AWAY,WAS @ ORL
0021400020,HOME,OKC @ LAC
0021400019,HOME,UTA @ DAL
0021400017,HOME,DET @ MIN
0021400026,AWAY,LAC @ LAL
0021400022,AWAY,CLE @ CHI
0021400024,HOME,SAS @ PHX
0021400021,AWAY,MEM @ IND
0021400023,HOME,PHI @ MIL
0021400025,HOME,POR @ SAC
0021400030,AWAY,MIA @ PHI
0021400038,HOME,LAL @ GSW
0021400034,HOME,BOS @ HOU
0021400033,AWAY,BKN @ DET
0021400029,AWAY,TOR @ ORL
0021400032,HOME,IND @ ATL
0021400037,HOME,PHX @ UTA
0021400035,AWAY,CHI @ MIN
0021400028,AWAY,MEM @ CHA
0021400031,HOME,MIL @ WAS
0021400036,HOME,DEN @ OKC
0021400027,AWAY,DAL @ NOP
0021400041,HOME,CHA @ NYK
0021400040,HOME,TOR @ MIA
0021400039,AWAY,SAC @ LAC
0021400042,AWAY,GSW @ POR
0021400043,AWAY,HOU @ PHI
0021400044,HOME,OKC @ BKN
0021400048,HOME,UTA @ LAC
0021400046,HOME,BOS @ DAL
0021400047,AWAY,SAC @ DEN
0021400045,HOME,NOP @ MEM
0021400056,AWAY,PHX @ LAL
0021400053,HOME,ORL @ CHI
0021400051,AWAY,WAS @ NYK
0021400050,AWAY,HOU @ MIA
0021400055,HOME,CLE @ POR
0021400049,AWAY,MIL @ IND
0021400052,HOME,OKC @ TOR
0021400054,HOME,CHA @ NOP
0021400068,HOME,LAC @ GSW
0021400064,HOME,ATL @ SAS
0021400059,AWAY,TOR @ BOS
0021400065,AWAY,MEM @ PHX
0021400060,AWAY,MIN @ BKN
0021400061,HOME,NYK @ DET
0021400062,AWAY,CHI @ MIL
0021400066,HOME,CLE @ UTA
0021400057,HOME,MIA @ CHA
0021400067,HOME,DEN @ SAC
0021400063,HOME,IND @ WAS
0021400058,AWAY,ORL @ PHI
0021400069,HOME,SAS @ HOU
0021400070,HOME,DAL @ POR
0021400073,AWAY,CHI @ PHI
0021400074,HOME,IND @ BOS
0021400079,AWAY,SAC @ PHX
0021400075,HOME,NYK @ BKN
0021400076,HOME,MIL @ DET
0021400072,HOME,MIN @ ORL
0021400080,AWAY,DAL @ UTA
0021400081,AWAY,CLE @ DEN
0021400071,HOME,ATL @ CHA
0021400077,HOME,WAS @ TOR
0021400078,AWAY,MEM @ OKC
0021400089,AWAY,NOP @ SAS
0021400086,AWAY,BOS @ CHI
0021400087,AWAY,GSW @ HOU
0021400085,HOME,MIN @ MIA
0021400082,HOME,POR @ LAC
0021400083,AWAY,WAS @ IND
0021400084,HOME,NYK @ ATL
0021400088,HOME,MEM @ MIL
0021400097,HOME,CHA @ LAL
0021400095,HOME,GSW @ PHX
0021400090,HOME,ORL @ BKN
0021400091,AWAY,UTA @ DET
0021400096,HOME,DEN @ POR
0021400094,AWAY,MIA @ DAL
0021400093,HOME,PHI @ TOR
0021400092,HOME,SAC @ OKC
0021400101,HOME,DET @ CHI
0021400100,AWAY,ATL @ NYK
0021400098,HOME,NOP @ CLE
0021400102,AWAY,SAS @ LAC
0021400099,HOME,UTA @ IND
0021400108,AWAY,SAS @ GSW
0021400107,HOME,CHA @ POR
0021400106,HOME,SAC @ DAL
0021400105,HOME,OKC @ MIL
0021400104,HOME,LAL @ MEM
0021400103,HOME,ORL @ TOR
0021400111,AWAY,OKC @ BOS
0021400113,AWAY,ORL @ NYK
0021400116,HOME,BKN @ PHX
0021400112,AWAY,IND @ MIA
0021400110,HOME,UTA @ ATL
0021400115,AWAY,POR @ DEN
0021400117,AWAY,HOU @ MIN
0021400109,HOME,DET @ WAS
0021400114,HOME,LAL @ NOP
0021400121,HOME,BKN @ GSW
0021400120,HOME,PHI @ DAL
0021400118,HOME,SAC @ MEM
0021400119,AWAY,CHI @ TOR
0021400131,AWAY,SAS @ LAL
0021400126,AWAY,UTA @ NYK
0021400125,AWAY,CLE @ BOS
0021400130,AWAY,CHA @ PHX
0021400127,HOME,PHI @ HOU
0021400123,HOME,MIL @ ORL
0021400122,AWAY,DEN @ IND
0021400124,HOME,MIA @ ATL
0021400129,AWAY,DET @ OKC
0021400128,HOME,MIN @ NOP
0021400140,HOME,CHA @ GSW
0021400135,AWAY,IND @ CHI
0021400133,HOME,ATL @ CLE
0021400141,HOME,PHX @ LAC
0021400138,HOME,BKN @ POR
0021400137,HOME,MIN @ DAL
0021400139,HOME,SAS @ SAC
0021400132,HOME,ORL @ WAS
0021400136,HOME,DET @ MEM
0021400134,HOME,UTA @ TOR
0021400145,AWAY,GSW @ LAL
0021400142,HOME,DEN @ NYK
0021400143,AWAY,MIL @ MIA
0021400144,AWAY,HOU @ OKC
0021400152,HOME,PHI @ SAS
0021400148,AWAY,PHX @ BOS
0021400147,AWAY,DEN @ CLE
