GAME_ID,EVENTNUM,PERIOD,TIME,SCORINGTEAM,HOMEMARGIN,SCORE,SIDE,POINTS
0021800001,17,1,2815,HOME,-2,2 - 0,HOME,2
0021800001,38,1,2719,AWAY,0,2 - 2,AWAY,2
0021800001,44,1,2693,HOME,-2,4 - 2,HOME,4
0021800001,48,1,2668,AWAY,0,4 - 4,AWAY,4
0021800001,50,1,2655,HOME,-2,6 - 4,HOME,6
0021800001,55,1,2621,HOME,-4,8 - 4,HOME,8
0021800001,56,1,2606,AWAY,-1,8 - 7,AWAY,7
0021800001,75,1,2554,AWAY,0,8 - 8,AWAY,8
0021800001,76,1,2554,AWAY,1,8 - 9,AWAY,9
0021800001,79,1,2530,AWAY,3,8 - 11,AWAY,11
0021800001,88,1,2501,AWAY,5,8 - 13,AWAY,13
0021800001,95,1,2473,AWAY,6,8 - 14,AWAY,14
0021800001,101,1,2450,HOME,4,10 - 14,HOME,10
0021800001,111,1,2427,HOME,3,11 - 14,HOME,11
0021800001,112,1,2410,AWAY,5,11 - 16,AWAY,16
0021800001,114,1,2387,AWAY,7,11 - 18,AWAY,18
0021800001,122,1,2387,AWAY,8,11 - 19,AWAY,19
0021800001,124,1,2369,HOME,5,14 - 19,HOME,14
0021800001,130,1,2333,AWAY,7,14 - 21,AWAY,21
0021800001,154,1,2258,HOME,6,15 - 21,HOME,15
0021800001,157,1,2231,HOME,4,17 - 21,HOME,17
0021800001,160,1,2211,HOME,2,19 - 21,HOME,19
0021800001,165,1,2186,HOME,0,21 - 21,HOME,21
0021800001,176,2,2150,AWAY,2,21 - 23,AWAY,23
0021800001,181,2,2113,AWAY,4,21 - 25,AWAY,25
0021800001,192,2,2077,AWAY,7,21 - 28,AWAY,28
0021800001,206,2,2022,AWAY,9,21 - 30,AWAY,30
0021800001,218,2,1984,HOME,7,23 - 30,HOME,23
0021800001,219,2,1969,AWAY,9,23 - 32,AWAY,32
0021800001,220,2,1955,HOME,6,26 - 32,HOME,26
0021800001,237,2,1839,HOME,4,28 - 32,HOME,28
0021800001,264,2,1775,AWAY,5,28 - 33,AWAY,33
0021800001,265,2,1759,HOME,3,30 - 33,HOME,30
0021800001,268,2,1759,HOME,2,31 - 33,HOME,31
0021800001,271,2,1747,AWAY,4,31 - 35,AWAY,35
