year,avgtimeto100
1997,221.48005908419498
1998,214.82244556113903
1999,158.36466165413535
2000,224.56016597510373
2001,191.81025641025641
2002,205.4734219269103
2003,213.5396551724138
2004,203.16632860040568
2005,218.3328611898017
2006,222.8921282798834
2007,245.0159362549801
2008,279.64635603345283
2009,266.6222222222222
2010,287.07971014492756
2011,251.85268414481897
2012,223.08333333333334
2013,241.10554089709763
2014,274.109604519774
2015,261.5245901639344
2016,292.54192872117403
2017,341.0972354623451
2018,363.8414634146341
2019,440.2603603603604
